Symbol,Allocation_Weight
INFOSYSTCH,0.3569
BAJAUTOFIN,0.3107
SSLT,0.1405
HEROHONDA,0.1242
UNIPHOS,0.0225
HEROMOTOCO,0.0205
HINDUNILVR,0.0125
INFY,0.0121
